tar_filename,repo_url
kbardool_mrcnn3.tar.gz,https://github.com/kbardool/mrcnn3
TanUkkii007_wavenet.tar.gz,https://github.com/TanUkkii007/wavenet
david-klindt_NIPS2017.tar.gz,https://github.com/david-klindt/NIPS2017
aswinapk_chatbot_rnn.tar.gz,https://github.com/aswinapk/chatbot_rnn
ahmedbhna_VGG_Paper.tar.gz,https://github.com/ahmedbhna/VGG_Paper
chenziku_train-procgen.tar.gz,https://github.com/chenziku/train-procgen
qq456cvb_AAE.tar.gz,https://github.com/qq456cvb/AAE
jasjeetIM_recovering_compressible_signals.tar.gz,https://github.com/jasjeetIM/recovering_compressible_signals
rickyHong_pytorch-light-head-rcnn-repl.tar.gz,https://github.com/rickyHong/pytorch-light-head-rcnn-repl
hdcouture_TOCCA.tar.gz,https://github.com/hdcouture/TOCCA
TranSys2020_TranSys.tar.gz,https://github.com/TranSys2020/TranSys
HomoSapienLCY_Contextual_Regression.tar.gz,https://github.com/HomoSapienLCY/Contextual_Regression
JieXuUESTC_DEMVC.tar.gz,https://github.com/JieXuUESTC/DEMVC
RuiLiFeng_LAE.tar.gz,https://github.com/RuiLiFeng/LAE
carinanorre_Brain-Tumour-Segmentation-Dissertation.tar.gz,https://github.com/carinanorre/Brain-Tumour-Segmentation-Dissertation
idea-iitd_GCOMB.tar.gz,https://github.com/idea-iitd/GCOMB
oclaudio_cubic-oscillator.tar.gz,https://github.com/oclaudio/cubic-oscillator
ayulockin_Explore-NFNet.tar.gz,https://github.com/ayulockin/Explore-NFNet
ari-dasci_s-rafni.tar.gz,https://github.com/ari-dasci/s-rafni
matwilso_relation-networks.tar.gz,https://github.com/matwilso/relation-networks
jacobandreas_neuralese.tar.gz,https://github.com/jacobandreas/neuralese
shiyemin_shuttlenet.tar.gz,https://github.com/shiyemin/shuttlenet
ssrp_Multi-level-DCNet.tar.gz,https://github.com/ssrp/Multi-level-DCNet
satyadevntv_ROT.tar.gz,https://github.com/satyadevntv/ROT
nutintin_Robotic_SP2019.tar.gz,https://github.com/nutintin/Robotic_SP2019
dipjyoti92_StarGAN-Voice-Conversion.tar.gz,https://github.com/dipjyoti92/StarGAN-Voice-Conversion
aravind0706_flowpp.tar.gz,https://github.com/aravind0706/flowpp
marekrei_sequence-labeler.tar.gz,https://github.com/marekrei/sequence-labeler
yongheng1991_qec_net.tar.gz,https://github.com/yongheng1991/qec_net
lca4_interank.tar.gz,https://github.com/lca4/interank
animeshprasad_citation_analysis.tar.gz,https://github.com/animeshprasad/citation_analysis
yoandinkov_ranlp-2019.tar.gz,https://github.com/yoandinkov/ranlp-2019
Herge_GAN2.tar.gz,https://github.com/Herge/GAN2
lirus7_Heterogeneity-Loss-to-Handle-Intersubject-and-Intrasubject-Variability-in-Cancer.tar.gz,https://github.com/lirus7/Heterogeneity-Loss-to-Handle-Intersubject-and-Intrasubject-Variability-in-Cancer
Julian-Theis_AVATAR.tar.gz,https://github.com/Julian-Theis/AVATAR
ipc-lab_deepJSCC-feedback.tar.gz,https://github.com/ipc-lab/deepJSCC-feedback
kcmeehan_SmartDetect.tar.gz,https://github.com/kcmeehan/SmartDetect
idobronstein_my_WRN.tar.gz,https://github.com/idobronstein/my_WRN
johnthebrave_nlidb-datasets.tar.gz,https://github.com/johnthebrave/nlidb-datasets
ericjang_draw.tar.gz,https://github.com/ericjang/draw
170928_-Review-Proximal-Policy-Optimization-Algorithms.tar.gz,https://github.com/170928/-Review-Proximal-Policy-Optimization-Algorithms
lollcat_RL-Process-Design.tar.gz,https://github.com/lollcat/RL-Process-Design
Ehsan-Yaghoubi_MAN-PAR-.tar.gz,https://github.com/Ehsan-Yaghoubi/MAN-PAR-
ShristiShrestha_SincConvBasedSpeakerRecognition.tar.gz,https://github.com/ShristiShrestha/SincConvBasedSpeakerRecognition
Baichenjia_DCGAN-eager.tar.gz,https://github.com/Baichenjia/DCGAN-eager
KenzaB27_VAE-VampPrior.tar.gz,https://github.com/KenzaB27/VAE-VampPrior
ctuning_ck-env.tar.gz,https://github.com/ctuning/ck-env
varununleashed_tiny_faces_temp.tar.gz,https://github.com/varununleashed/tiny_faces_temp
ElternalEnVy_tensorflow_rbm.tar.gz,https://github.com/ElternalEnVy/tensorflow_rbm
sdi1100041_SLEIPNIR.tar.gz,https://github.com/sdi1100041/SLEIPNIR
stellargraph_stellargraph.tar.gz,https://github.com/stellargraph/stellargraph
pratikkakkar_deep-diff.tar.gz,https://github.com/pratikkakkar/deep-diff
phueb_BabyBertSRL.tar.gz,https://github.com/phueb/BabyBertSRL
lzzcd001_ade-code.tar.gz,https://github.com/lzzcd001/ade-code
RoyJames_Fast3DScattering-release.tar.gz,https://github.com/RoyJames/Fast3DScattering-release
KunZhou9646_seq2seq-EVC.tar.gz,https://github.com/KunZhou9646/seq2seq-EVC
cs-chan_Artwork-Synthesis.tar.gz,https://github.com/cs-chan/Artwork-Synthesis
castorini_honk.tar.gz,https://github.com/castorini/honk
bhneo_Capsnet-Experiments.tar.gz,https://github.com/bhneo/Capsnet-Experiments
jackd_ige.tar.gz,https://github.com/jackd/ige
nickmcgreivy_PINN.tar.gz,https://github.com/nickmcgreivy/PINN
willspag_SeqGan.tar.gz,https://github.com/willspag/SeqGan
Nico-Sch_RL-Chatbot.tar.gz,https://github.com/Nico-Sch/RL-Chatbot
liuxinkai94_Graph-embedding.tar.gz,https://github.com/liuxinkai94/Graph-embedding
ferchonavarro_shape_aware_segmentation.tar.gz,https://github.com/ferchonavarro/shape_aware_segmentation
mikefairbank_dlts_paper_code.tar.gz,https://github.com/mikefairbank/dlts_paper_code
allenai_cartography.tar.gz,https://github.com/allenai/cartography
SCAN-NRAD_BrainRegressorCNN.tar.gz,https://github.com/SCAN-NRAD/BrainRegressorCNN
riron1206_kaggle_MoA.tar.gz,https://github.com/riron1206/kaggle_MoA
nccr-itmo_FEDOT.tar.gz,https://github.com/nccr-itmo/FEDOT
manuelmolano_Spike-GAN.tar.gz,https://github.com/manuelmolano/Spike-GAN
GuoLiuFang_seglink-lfs.tar.gz,https://github.com/GuoLiuFang/seglink-lfs
haeusser_learning_by_association.tar.gz,https://github.com/haeusser/learning_by_association
GarkP_LUNA16_Challange.tar.gz,https://github.com/GarkP/LUNA16_Challange
llyx97_Rosita.tar.gz,https://github.com/llyx97/Rosita
jekunz_probing.tar.gz,https://github.com/jekunz/probing
kavitabala_geostyle.tar.gz,https://github.com/kavitabala/geostyle
lilaspourpre_kw_extraction.tar.gz,https://github.com/lilaspourpre/kw_extraction
hiroki13_instance-based-ner.tar.gz,https://github.com/hiroki13/instance-based-ner
nickolor_Learning-to-See-in-the-Dark_and_DeepISP.tar.gz,https://github.com/nickolor/Learning-to-See-in-the-Dark_and_DeepISP
setharram_facenet.tar.gz,https://github.com/setharram/facenet
cristian856_LeFlow.tar.gz,https://github.com/cristian856/LeFlow
tair-ai_caffe.tar.gz,https://github.com/tair-ai/caffe
SongDark_generate_normal.tar.gz,https://github.com/SongDark/generate_normal
sharifelguindi_DeepLab.tar.gz,https://github.com/sharifelguindi/DeepLab
TaiwanRobert_iCAN_for_live_video.tar.gz,https://github.com/TaiwanRobert/iCAN_for_live_video
vanzytay_QuaternionTransformers.tar.gz,https://github.com/vanzytay/QuaternionTransformers
JunweiLiang_Object_Detection_Tracking.tar.gz,https://github.com/JunweiLiang/Object_Detection_Tracking
iclavera_learning_to_adapt.tar.gz,https://github.com/iclavera/learning_to_adapt
Siomarry_Audio_recognition_.tar.gz,https://github.com/Siomarry/Audio_recognition_
daniilidis-group_polar-transformer-networks.tar.gz,https://github.com/daniilidis-group/polar-transformer-networks
jiongqian_MILE.tar.gz,https://github.com/jiongqian/MILE
vinhdv1628_etnlp.tar.gz,https://github.com/vinhdv1628/etnlp
LONG-9621_VoteNet.tar.gz,https://github.com/LONG-9621/VoteNet
q275212_rlcard.tar.gz,https://github.com/q275212/rlcard
saeedkhaki92_collaborative-filtering-for-yield-prediction.tar.gz,https://github.com/saeedkhaki92/collaborative-filtering-for-yield-prediction
lisha-chen_Deep-structured-facial-landmark-detection.tar.gz,https://github.com/lisha-chen/Deep-structured-facial-landmark-detection
frankaging_BERT_LRP.tar.gz,https://github.com/frankaging/BERT_LRP
lanzhang128_disentanglement.tar.gz,https://github.com/lanzhang128/disentanglement
HoangTrinh_B_DRRN.tar.gz,https://github.com/HoangTrinh/B_DRRN
alibaba_x-deeplearning.tar.gz,https://github.com/alibaba/x-deeplearning
mayoor_attention_network_experiments.tar.gz,https://github.com/mayoor/attention_network_experiments
fuguoji_HSRL.tar.gz,https://github.com/fuguoji/HSRL
zh3nis_pat-sum.tar.gz,https://github.com/zh3nis/pat-sum
jfainberg_sincnet_adapt.tar.gz,https://github.com/jfainberg/sincnet_adapt
caoquanjie_ADDA-master.tar.gz,https://github.com/caoquanjie/ADDA-master
juglab_DenoiSeg.tar.gz,https://github.com/juglab/DenoiSeg
bigchem_transformer-cnn.tar.gz,https://github.com/bigchem/transformer-cnn
furkanbiten_GoodNews.tar.gz,https://github.com/furkanbiten/GoodNews
WingsBrokenAngel_Semantics-AssistedVideoCaptioning.tar.gz,https://github.com/WingsBrokenAngel/Semantics-AssistedVideoCaptioning
Komal7209_BackUp-Twitter-Sentiment-Analysis-.tar.gz,https://github.com/Komal7209/BackUp-Twitter-Sentiment-Analysis-
ryanhalabi_starcraft_super_resolution.tar.gz,https://github.com/ryanhalabi/starcraft_super_resolution
gkahn13_CAPs.tar.gz,https://github.com/gkahn13/CAPs
tensorly_tensorly.tar.gz,https://github.com/tensorly/tensorly
YadiraF_PRNet.tar.gz,https://github.com/YadiraF/PRNet
machine-reasoning-ufrgs_graph-neural-networks.tar.gz,https://github.com/machine-reasoning-ufrgs/graph-neural-networks
eagle705_bert.tar.gz,https://github.com/eagle705/bert
BethanyL_damaged_cnns.tar.gz,https://github.com/BethanyL/damaged_cnns
jinze1994_ATRank.tar.gz,https://github.com/jinze1994/ATRank
bapanes_Gamma-Ray-Point-Source-Detector.tar.gz,https://github.com/bapanes/Gamma-Ray-Point-Source-Detector
dingkeyan93_DISTS.tar.gz,https://github.com/dingkeyan93/DISTS
freelunchtheorem_Conditional_Density_Estimation.tar.gz,https://github.com/freelunchtheorem/Conditional_Density_Estimation
KaidongLi_tf-3d-alpha.tar.gz,https://github.com/KaidongLi/tf-3d-alpha
VaanHUANG_CSCI5210HW1.tar.gz,https://github.com/VaanHUANG/CSCI5210HW1
scenarios_PGNAS.tar.gz,https://github.com/scenarios/PGNAS
pse-ecn_pose-sensitive-embedding.tar.gz,https://github.com/pse-ecn/pose-sensitive-embedding
vinliao_object-detection-python.tar.gz,https://github.com/vinliao/object-detection-python
iyyun_Part-CNN.tar.gz,https://github.com/iyyun/Part-CNN
TonythePlaneswalker_pcn.tar.gz,https://github.com/TonythePlaneswalker/pcn
Music-and-Culture-Technology-Lab_omnizart.tar.gz,https://github.com/Music-and-Culture-Technology-Lab/omnizart
Tharun24_MACH.tar.gz,https://github.com/Tharun24/MACH
xavysp_DexiNed.tar.gz,https://github.com/xavysp/DexiNed
LynnHo_PA-GAN-Tensorflow.tar.gz,https://github.com/LynnHo/PA-GAN-Tensorflow
williamcaicedo_ISeeU2.tar.gz,https://github.com/williamcaicedo/ISeeU2
windwithforce_lane-detection.tar.gz,https://github.com/windwithforce/lane-detection
arjunmajum_vln-bert.tar.gz,https://github.com/arjunmajum/vln-bert
jaswindersingh2_RNAsnap2.tar.gz,https://github.com/jaswindersingh2/RNAsnap2
xinw1012_cycle-confusion.tar.gz,https://github.com/xinw1012/cycle-confusion
saugatkandel_second-order-phase-retrieval.tar.gz,https://github.com/saugatkandel/second-order-phase-retrieval
kevinwong2013_COMS4995_Team_4_Zero_Shot_Classifier.tar.gz,https://github.com/kevinwong2013/COMS4995_Team_4_Zero_Shot_Classifier
parviagrawal_IdenProf.tar.gz,https://github.com/parviagrawal/IdenProf
jkcrosby3_FashionMNST.tar.gz,https://github.com/jkcrosby3/FashionMNST
ek65_internship.tar.gz,https://github.com/ek65/internship
guoqingbao_Multiception.tar.gz,https://github.com/guoqingbao/Multiception
cindyxinyiwang_multiview-subword-regularization.tar.gz,https://github.com/cindyxinyiwang/multiview-subword-regularization
revsic_jax-variational-diffwave.tar.gz,https://github.com/revsic/jax-variational-diffwave
edricwu_Testing-1.tar.gz,https://github.com/edricwu/Testing-1
otl-artorg_instrument-pose.tar.gz,https://github.com/otl-artorg/instrument-pose
peilinrao_AutoComics.tar.gz,https://github.com/peilinrao/AutoComics
ozanciga_learning-to-segment.tar.gz,https://github.com/ozanciga/learning-to-segment
diegovalsesia_GraphCNN-GAN.tar.gz,https://github.com/diegovalsesia/GraphCNN-GAN
inoryy_reaver.tar.gz,https://github.com/inoryy/reaver
yue-zhongqi_ifsl.tar.gz,https://github.com/yue-zhongqi/ifsl
Rediminds_All-Data-Inclusive-Deep-Learning-Models-to-Predict-Critical-Events-in-MIMIC-III.tar.gz,https://github.com/Rediminds/All-Data-Inclusive-Deep-Learning-Models-to-Predict-Critical-Events-in-MIMIC-III
geeky-wizard_Atari-Deep-Reinforcement-Learning.tar.gz,https://github.com/geeky-wizard/Atari-Deep-Reinforcement-Learning
WangZesen_SincNet-Tensorflow2.tar.gz,https://github.com/WangZesen/SincNet-Tensorflow2
tejas-gokhale_vqa_mutant.tar.gz,https://github.com/tejas-gokhale/vqa_mutant
valeoai_SemanticPalette.tar.gz,https://github.com/valeoai/SemanticPalette
aaaasssddf_word-embedding-dimensionality-selection.tar.gz,https://github.com/aaaasssddf/word-embedding-dimensionality-selection
sminer3_duplicate_statement_detection.tar.gz,https://github.com/sminer3/duplicate_statement_detection
cersar_3D_detection.tar.gz,https://github.com/cersar/3D_detection
rpuiggari_bert2.tar.gz,https://github.com/rpuiggari/bert2
kushagra06_DDPG.tar.gz,https://github.com/kushagra06/DDPG
NiallJeffrey_DeepMass.tar.gz,https://github.com/NiallJeffrey/DeepMass
nikkkkhil_lane-detection-using-lanenet.tar.gz,https://github.com/nikkkkhil/lane-detection-using-lanenet
smt-HS_CE3.tar.gz,https://github.com/smt-HS/CE3
dablack2020_Seniordes.tar.gz,https://github.com/dablack2020/Seniordes
jyhengcoder_lans_optimizer.tar.gz,https://github.com/jyhengcoder/lans_optimizer
martellab-sri_AMINN.tar.gz,https://github.com/martellab-sri/AMINN
NVIDIA_tacotron2.tar.gz,https://github.com/NVIDIA/tacotron2
aboev_arae-tf.tar.gz,https://github.com/aboev/arae-tf
choderalab_gimlet.tar.gz,https://github.com/choderalab/gimlet
ajenningsfrankston_Dynamic-Memory-Network-Plus-master.tar.gz,https://github.com/ajenningsfrankston/Dynamic-Memory-Network-Plus-master
RSMI-NE_RSMI-NE.tar.gz,https://github.com/RSMI-NE/RSMI-NE
KaidiXu_GCN_ADV_Train.tar.gz,https://github.com/KaidiXu/GCN_ADV_Train
gvalvano_multiscale-adversarial-attention-gates.tar.gz,https://github.com/gvalvano/multiscale-adversarial-attention-gates
pvgladkov_density-peaks-sentence-clustering.tar.gz,https://github.com/pvgladkov/density-peaks-sentence-clustering
siplab-gt_generative-causal-explanations.tar.gz,https://github.com/siplab-gt/generative-causal-explanations
Grayming_ALIL.tar.gz,https://github.com/Grayming/ALIL
Fraunhofer-AISEC_regression_data_poisoning.tar.gz,https://github.com/Fraunhofer-AISEC/regression_data_poisoning
sharajpanwar_CC-WGAN-GP.tar.gz,https://github.com/sharajpanwar/CC-WGAN-GP
Bao-Jiarong_ResNet.tar.gz,https://github.com/Bao-Jiarong/ResNet
idiotprofessorchen_bert.github.io.tar.gz,https://github.com/idiotprofessorchen/bert.github.io
gurpreet-singh135_Image-Interpolation-via-adaptive-separable-convolution.tar.gz,https://github.com/gurpreet-singh135/Image-Interpolation-via-adaptive-separable-convolution
GemsLab_StrucEmbedding-GraphLibrary.tar.gz,https://github.com/GemsLab/StrucEmbedding-GraphLibrary
facebookresearch_reconsider.tar.gz,https://github.com/facebookresearch/reconsider
ShotDownDiane_tcn-master.tar.gz,https://github.com/ShotDownDiane/tcn-master
noegroup_paper_boltzmann_generators.tar.gz,https://github.com/noegroup/paper_boltzmann_generators
mansimane_WormML.tar.gz,https://github.com/mansimane/WormML
WeLoveKiraboshi_In-PlaneRotationAwareDepthEstimation.tar.gz,https://github.com/WeLoveKiraboshi/In-PlaneRotationAwareDepthEstimation
saeedkhaki92_CNN-RNN-Yield-Prediction.tar.gz,https://github.com/saeedkhaki92/CNN-RNN-Yield-Prediction
soumik12345_Enet-Tensorflow.tar.gz,https://github.com/soumik12345/Enet-Tensorflow
gauraviitg_BMTT-PETS-2017-surveillance-challenge.tar.gz,https://github.com/gauraviitg/BMTT-PETS-2017-surveillance-challenge
kepei1106_ARAML.tar.gz,https://github.com/kepei1106/ARAML
zihangdai_xlnet.tar.gz,https://github.com/zihangdai/xlnet
bestend_tf2-bi-lstm-crf-nni.tar.gz,https://github.com/bestend/tf2-bi-lstm-crf-nni
dengyang17_OAAG.tar.gz,https://github.com/dengyang17/OAAG
wy-moonind_trackrcnn_with_deepsort.tar.gz,https://github.com/wy-moonind/trackrcnn_with_deepsort
aied2021TRMRC_AIED_2021_TRMRC_code.tar.gz,https://github.com/aied2021TRMRC/AIED_2021_TRMRC_code
hinofafa_Self-Attention-HearthStone-GAN.tar.gz,https://github.com/hinofafa/Self-Attention-HearthStone-GAN
dshelukh_CapsuleLearner.tar.gz,https://github.com/dshelukh/CapsuleLearner
PuchatekwSzortach_voc_ssd.tar.gz,https://github.com/PuchatekwSzortach/voc_ssd
nayeon7lee_bert-summarization.tar.gz,https://github.com/nayeon7lee/bert-summarization
EmreTaha_shortcut-perspective-TF2.tar.gz,https://github.com/EmreTaha/shortcut-perspective-TF2
CVLAB-Unibo_omeganet.tar.gz,https://github.com/CVLAB-Unibo/omeganet
umd-huang-lab_reinforcement-learning-via-spectral-methods.tar.gz,https://github.com/umd-huang-lab/reinforcement-learning-via-spectral-methods
Zhuoranbupt_ECE285fa19.tar.gz,https://github.com/Zhuoranbupt/ECE285fa19
anandharaju_Basic_TCN.tar.gz,https://github.com/anandharaju/Basic_TCN
reginareis_doutorado.tar.gz,https://github.com/reginareis/doutorado
SamanJamalAbbasi_DRESS_DeepRL.tar.gz,https://github.com/SamanJamalAbbasi/DRESS_DeepRL
Teoroo-CMC_PiNN.tar.gz,https://github.com/Teoroo-CMC/PiNN
CuauSuarez_Bop2ndOrder.tar.gz,https://github.com/CuauSuarez/Bop2ndOrder
